Locale ID,Sectie Naam,Voorziening,Omschrijving,Beschikbare uren
22,Stalling,Fietspomp,Elektrische Fietspomp,Open 24/7
24,Mobipunt Deinze,Fietspomp,Manuele fietspomp,Open 24/7
24,Mobipunt Deinze,Deelfiets,www.blue-bike.be,Open 24/7
31,Stalling_2,Deelfiets,www.blue-bike.be,Open 24/7
34,Stalling,Fietspomp,Manuele fietspomp,Open 24/7
