Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Limburg,RIEMST,RIEMST,407653 Riemst Busstation perron 3,,Gemeenteplein,"50.81196,5.596252","6;50.8120113,5.5963187",Meer dan 5,Ja
Antwerpen,RIJKEVORSEL,RIJKEVORSEL,105558 Rijkevorsel Kerk,,Dorp,"51.349859,4.760338","10;51.3498739,4.7603931",Meer dan 5,Ja
West-Vlaanderen,ROESELARE,OEKENE,503635 Oekene Dorp,,Plaats,"50.920329,3.160778","12;50.9202753,3.1605815",Meer dan 5,Ja
Vlaams-Brabant,ROTSELAAR,ROTSELAAR,304315 Rotselaar Rotonde,,Aarschotsesteenweg,"50.939118,4.736218","3;50.9391081,4.7362489",Meer dan 5,Ja
Antwerpen,RUMST,REET,106803 Reet Kerk,,Unknown,"51.100621,4.41369","4;51.100678,4.4137273",Meer dan 5,Ja
Antwerpen,RUMST,RUMST,103042 Rumst Busstation,,Molenbergstraat,"51.078819,4.423088","4;51.0788099,4.4231705",Meer dan 5,Ja
Antwerpen,RUMST,RUMST,106809 Rumst Busstation,,Molenbergstraat,"51.078869,4.423108","4;51.079028,4.4232256",Meer dan 5,Ja
Antwerpen,RUMST,RUMST,106810 Rumst Busstation,,Molenbergstraat,"51.078847,4.423144","4;51.0788912,4.4231929",Meer dan 5,Ja
Antwerpen,RUMST,RUMST,106814 Rumst Hof Ten Eiken,,Tiburstraat,"51.083605,4.441429","4;51.0836228,4.44129",Meer dan 5,Ja
Antwerpen,SCHELLE,SCHELLE,105981 Schelle Kerk,,Fabiolalaan,"51.129131,4.335935","4;51.1291697,4.3358193",Meer dan 5,Ja
Antwerpen,SCHELLE,SCHELLE,105987 Schelle Tolhuisstraat,,Fabiolalaan,"51.119407,4.334555","4;51.1197103,4.3346161",Meer dan 5,Ja
Vlaams-Brabant,SCHERPENHEUVEL-ZICHEM,SCHERPENHEUVEL,308827 Scherpenheuvel OLV Ster der Zee,,PRINS ALEXANDERSTRAAT,"50.980572,4.965727","4;50.9805258,4.9656094",Meer dan 5,Ja
Vlaams-Brabant,SCHERPENHEUVEL-ZICHEM,SCHERPENHEUVEL-ZICHEM,301262 Kaggevinne Koebaan,,Diestsestraat,"50.978941,5.003429","10;50.9790151,5.0034518",Meer dan 5,Ja
Vlaams-Brabant,SCHERPENHEUVEL-ZICHEM,ZICHEM,308640 Zichem Kerk,,N212,"51.001665,4.98436","6;51.0017237,4.9845127",Meer dan 5,Ja
Antwerpen,SCHILDE,S-GRAVENWEZEL,105691 's-Gravenwezel Veldlei,,GILLÈS DE PÉLICHYLEI,"51.26057,4.558519","4;51.2605839,4.5583427",Meer dan 5,Ja
Antwerpen,SCHILDE,S-GRAVENWEZEL,105694 's-Gravenwezel Philippedreef,,Philippedreef,"51.250501,4.569895","6;51.2504739,4.5695672",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,104077 Schilde Gemeentehuis,,Brasschaatsebaan,"51.240569,4.577411","4;51.240539,4.5774297",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,105703 Schilde Brasschaatsebaan,,Schoolstraat,"51.237981,4.579554","4;51.2380688,4.5796161",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106064 Schilde Kasteeldreef,,N12,"51.231696,4.553551","10;51.2317136,4.5535703",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106067 Schilde Goudbloemlaan,,N12,"51.233702,4.560679","10;51.2336985,4.5607653",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106069 Schilde Termalenbaan,,N12,"51.236841,4.571555","10;51.2368259,4.5715933",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106071 Schilde Termalenbaan,,N12,"51.236372,4.570474","10;51.2364737,4.5703827",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106073 Schilde Brasschaatsebaan,,Turnhoutsebaan,"51.238674,4.578392","10;51.2386258,4.5779361",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106076 Schilde Wisselstraat,,Turnhoutsebaan,"51.242763,4.587979","10;51.2428897,4.5882365",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106078 Schilde Schanslaan,,N12,"51.246286,4.596872","10;51.2462824,4.5970245",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106080 Schilde Klein Waterstraat,,Turnhoutsebaan,"51.249494,4.604995","10;51.2499149,4.6058548",Meer dan 5,Ja
Antwerpen,SCHILDE,SCHILDE,106082 Halle Eikenlaan,,Turnhoutsebaan,"51.252963,4.613773","10;51.2529288,4.6138668",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105458 Schoten Th. V. Cauwenberghslei,,Paalstraat,"51.252574,4.501288","4;51.2526062,4.5012165",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105462 Schoten Blangenoisstraat,,Paalstraat,"51.256395,4.504609","10;51.2562787,4.5043908",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105467 Schoten Eksterdreef,,Paalstraat,"51.26326,4.508868","10;51.2630787,4.5088975",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105666 Schoten Lindenlei,,Villerslei,"51.252198,4.513732","4;51.2521765,4.5136936",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105677 Schoten A. Nahonlei,,Alfons servaislei,"51.254899,4.534789","4;51.2548827,4.5348224",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,105682 Schoten Koningshof,,Alice nahonlei,"51.265115,4.537773","4;51.2652679,4.5379227",Meer dan 5,Ja
Antwerpen,SCHOTEN,SCHOTEN,109891 Schoten Gemeentehuis,,Markt,"51.251086,4.497923","4;51.2510705,4.4979821",Meer dan 5,Ja
Antwerpen,SCHOTEN,ZWAAN,105479 Schoten Spaans Wijnhuis,,Brechtsebaan,"51.293569,4.546223","4;51.2936198,4.5461491",Meer dan 5,Ja
Oost-Vlaanderen,SINT-GILLIS-WAAS,SINT-GILLIS-WAAS,204251 Sint-Gillis-Waas Sint-Helena,,Blokstraat,"51.222381,4.124877","4;51.2228792,4.1255239",Meer dan 5,Ja
Oost-Vlaanderen,SINT-GILLIS-WAAS,SINT-GILLIS-WAAS,205251 Sint-Gillis-Waas Sint-Helena,,Blokstraat,"51.222388,4.124947","3;51.2229149,4.1258005",Meer dan 5,Ja
Oost-Vlaanderen,SINT-GILLIS-WAAS,SINT-PAUWELS,204374 Sint-Pauwels Bagonielaan,,Zandstraat,"51.199126,4.082276","3;51.1991709,4.0823149",Meer dan 5,Ja
Antwerpen,SINT-KATELIJNE-WAVER,SINT-KATELIJNE-WAVER,108863 Sint-Katelijne-Waver Kerk,,Markt,"51.070386,4.532251","4;51.0703752,4.5322024",Meer dan 5,Ja
Vlaams-Brabant,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE,306159 Sint-Lambrechts-Woluwe Kraainem Metro,,Wezembeeklaan,"50.848821,4.45875","10;50.8488824,4.458998",Meer dan 5,Ja
Oost-Vlaanderen,SINT-LIEVENS-HOUTEM,VLIERZELE,206545 Vlierzele Hemelrijk,,Oordegemstraat,"50.932284,3.901439","4;50.932331,3.9014606",Meer dan 5,Ja
Oost-Vlaanderen,SINT-NIKLAAS,SINT-NIKLAAS,205700 Sint-Niklaas Stadskliniek,,Lodewijk de meesterstraat,"51.163587,4.151849","10;51.1636144,4.151884",Meer dan 5,Ja
Oost-Vlaanderen,SINT-NIKLAAS,SINT-NIKLAAS,205714 Sint-Niklaas Uitgang Noordlaan,,Noordlaan,"51.172552,4.144374","11;51.1722172,4.1437998",Meer dan 5,Ja
Oost-Vlaanderen,SINT-NIKLAAS,SINT-NIKLAAS,205103 Sint-Niklaas Atheneum/Zwembad,,Parklaan,"51.156458,4.15353","4;51.1563822,4.1535842",Meer dan 5,Ja
West-Vlaanderen,SPIERE-HELKIJN,SPIERE,504000 Spiere Kerk,,Robecijnplein,"50.718407,3.35518","4;50.7182501,3.3551335",Meer dan 5,Ja
Antwerpen,STABROEK,DRIEHOEK,105266 Stabroek Moretuslei,,Kasteeldreef,"51.353109,4.394643","3;51.3531076,4.3948266",Meer dan 5,Ja
Antwerpen,STABROEK,STABROEK,105269 Hoevenen Krekelberg,,Hoge weg,"51.314541,4.39524","3;51.314446,4.3953729",Meer dan 5,Ja
Antwerpen,STABROEK,STABROEK,109605 Hoevenen 's Hertogendijk,,Hoge weg,"51.326458,4.384114","3;51.326364,4.3844876",Meer dan 5,Ja
Oost-Vlaanderen,STEKENE,KEMZEKE,204375 Kemzeke Dorp,,Stationsstraat,"51.206965,4.075261","4;51.2069491,4.0752431",Meer dan 5,Ja
Oost-Vlaanderen,STEKENE,KLEIN SINAAI,204406 Stekene Klein Sinaai,,Brugse heirweg,"51.181606,3.991012","4;51.181502,3.9910487",Meer dan 5,Ja
Oost-Vlaanderen,STEKENE,KLEIN SINAAI,205406 Stekene Klein Sinaai,,Brugse heirweg,"51.181385,3.989981","4;51.1813536,3.9898898",Meer dan 5,Ja
Oost-Vlaanderen,STEKENE,STEKENE,204391 Stekene Kerk,,Polenlaan,"51.206469,4.041516","4;51.2064355,4.041317",Meer dan 5,Ja
Oost-Vlaanderen,STEKENE,STEKENE,204399 Stekene Dienstencentrum Koningshei,,Koewacht,"51.224271,3.988966","3;51.2242698,3.9889362",Meer dan 5,Ja
Oost-Vlaanderen,TEMSE,TEMSE,204654 Temse Gasthuisstraat,,Kouterstraat,"51.127687,4.214816","4;51.1275778,4.2148971",Meer dan 5,Ja
Limburg,TESSENDERLO,TESSENDERLO,408302 Tessenderlo Molenstraat I,,Diesterstraat,"51.058084,5.088981","10;51.0577188,5.0888909",Meer dan 5,Ja
Vlaams-Brabant,TIELT-WINGE,SINT-MARTENSKERK,305007 Tielt-Winge Gemeentehuis,,Blerebergstraat,"50.935783,4.909284","18;50.9358599,4.9093237",Meer dan 5,Ja
Vlaams-Brabant,TIELT-WINGE,TIELT-WINGE,305027 Tielt-Winge Stelplaats Perron 4,,,"50.921326,4.91251","4;50.9215127,4.9125885",Meer dan 5,Ja
Vlaams-Brabant,TIELT-WINGE,TIELT-WINGE,305029 Tielt-Winge Stelplaats Perron 5,,,"50.921428,4.912361","4;50.9213881,4.912437",Meer dan 5,Ja
Vlaams-Brabant,TIELT-WINGE,TIELT-WINGE,305030 Tielt-Winge Stelplaats Perron 1,,,"50.921238,4.912613","4;50.9213873,4.9125631",Meer dan 5,Ja
Vlaams-Brabant,TIELT-WINGE,TIELT-WINGE,305031 Tielt-Winge Stelplaats Perron 2,,,"50.921051,4.91216","4;50.9211537,4.9122858",Meer dan 5,Ja
West-Vlaanderen,TORHOUT,TORHOUT,507505 Torhout Normaalschool,,KAREL DE GOEDELAAN,"51.068887,3.103046","10;51.0688887,3.1030655",Meer dan 5,Ja
Vlaams-Brabant,TREMELO,TREMELO,303980 Tremelo Vinneweg,,Pastoor van winkelstraat,"50.992013,4.708201","3;50.9918007,4.7080811",Meer dan 5,Ja
Antwerpen,TURNHOUT,TURNHOUT,108909 Turnhout Graatakker,,Graatakker,"51.313063,4.94865","4;51.3130888,4.9485768",Meer dan 5,Ja
Antwerpen,VORSELAAR,SASSENHOUT,106483 Vorselaar Doornboom,,Poederleeseweg,"51.210622,4.818104","4;51.2107567,4.8182728",Meer dan 5,Ja
Antwerpen,VORSELAAR,VORSELAAR,106473 Vorselaar Dorp,,Markt,"51.201784,4.773576","4;51.2017682,4.7735783",Meer dan 5,Ja
Antwerpen,VOSSELAAR,VOSSELAAR,103684 Vosselaar Sportcentrum,,Diepvenneke,"51.301589,4.893297","4;51.3016702,4.8932059",Meer dan 5,Ja
Antwerpen,VOSSELAAR,VOSSELAAR,106218 Vosselaar Dennendreef,,Antwerpsesteenweg,"51.312979,4.875667","4;51.3130049,4.8757067",Meer dan 5,Ja
Antwerpen,VOSSELAAR,VOSSELAAR,106220 Vosselaar Dorp,,Antwerpsesteenweg,"51.314446,4.886193","4;51.3145004,4.8863463",Meer dan 5,Ja
Oost-Vlaanderen,WACHTEBEKE,OVERSLAG (WACHTEBEKE),202603 Wachtebeke Overslag,,Overslag,"51.199264,3.887333","4;51.2004858,3.8888172",Meer dan 5,Ja
Oost-Vlaanderen,WACHTEBEKE,WACHTEBEKE,202604 Wachtebeke Persijnplein,,Meersstraat,"51.16867,3.858888","4;51.1686047,3.8588662",Meer dan 5,Ja
West-Vlaanderen,WAREGEM,DESSELGEM,503120 Desselgem Toren,,Gentseweg,"50.8811,3.361844","3;50.8810686,3.3619517",Meer dan 5,Ja
West-Vlaanderen,WAREGEM,WAREGEM,504379 Waregem Carpool,,Franklin rooseveltlaan,"50.87357,3.440293","4;50.8736364,3.440357",Meer dan 5,Ja
West-Vlaanderen,WAREGEM,WAREGEM,508858 Waregem Renbaan,,Holstraat,"50.883668,3.438179","4;50.8838122,3.4378333",Meer dan 5,Ja
Vlaams-Brabant,WEMMEL,WEMMEL,305415 Wemmel Markt,,Steenweg op merchtem,"50.9082,4.306059","10;50.9082538,4.3059667",Meer dan 5,Ja
Vlaams-Brabant,WEMMEL,WEMMEL,305416 Wemmel Markt,,Steenweg op brussel,"50.907529,4.306457","3;50.9074107,4.3063621",Meer dan 5,Ja
Antwerpen,WESTERLO,HEULTJE,108293 Heultje Hoog Heultje,,Hoog heulaantje,"51.072129,4.835369","4;51.0720734,4.8354425",Meer dan 5,Ja
Antwerpen,WESTERLO,HEULTJE,108296 Heultje Hoge Akkers,,Gravin de merodestraat,"51.077319,4.83469","4;51.0772577,4.8347278",Meer dan 5,Ja
Antwerpen,WESTERLO,HEULTJE,109305 Heultje Kerk dorp,,Heultjedorp,"51.087867,4.837561","4;51.0879632,4.8376353",Meer dan 5,Ja
Antwerpen,WESTERLO,OEVEL,108788 Oevel Trienenkantlaan,,Tongerlostraat,"51.126881,4.907019","4;51.1268705,4.9069528",Meer dan 5,Ja
Antwerpen,WESTERLO,OOSTERWIJK,108741 Oosterwijk Busselen,,Olenseweg,"51.126799,4.867355","4;51.1268028,4.8673983",Meer dan 5,Ja
Antwerpen,WESTERLO,VOORTKAPEL,108743 Voortkapel Nieuwebaan,,Nieuwebaan,"51.117583,4.867979","4;51.1176164,4.868032",Meer dan 5,Ja
Antwerpen,WESTERLO,VOORTKAPEL,108746 Voortkapel Centrum,,Nieuwebaan,"51.115469,4.862656","5;51.1155108,4.8624902",Meer dan 5,Ja
Antwerpen,WESTERLO,VOORTKAPEL,108748 Voortkapel Stwg. Voortkapel,,Ter voort,"51.112108,4.86545","4;51.1121445,4.8654425",Meer dan 5,Ja
Antwerpen,WESTERLO,WESTERLO,109642 Westerlo de Merodedreef,,De merodedreef,"51.089326,4.91231","5;51.0894039,4.9123785",Meer dan 5,Ja
Antwerpen,WESTERLO,WESTERLO,109643 Westerlo de Merodedreef,,De merodedreef,"51.089182,4.912411","4;51.0892367,4.9124925",Meer dan 5,Ja
West-Vlaanderen,WEVELGEM,MOORSELE,508615 Moorsele Standbeeld,,SECRETARIS VANMARCKELAAN,"50.839039,3.164944","4;50.8391501,3.1651471",Meer dan 5,Ja
West-Vlaanderen,WEVELGEM,WEVELGEM,508873 Wevelgem Plaats,,Vanackerestraat,"50.808744,3.182773","3;50.8086062,3.1820889",Meer dan 5,Ja
Vlaams-Brabant,WEZEMBEEK-OPPEM,WEZEMBEEK-OPPEM,307831 Tervuren Terminus tram 44,,Leuvensesteenweg,"50.829884,4.514362","4;50.8295197,4.5133028",Meer dan 5,Ja
Oost-Vlaanderen,WICHELEN,SERSKAMP,207593 Serskamp Nieuwstraat,,Anker,"50.992302,3.921403","4;50.9923702,3.9213209",Meer dan 5,Ja
Oost-Vlaanderen,WICHELEN,WICHELEN,200157 Wichelen Molenkouter,,DREEFSTRAAT,"51.011942,3.968161","4;51.0119112,3.9681155",Meer dan 5,Ja
Antwerpen,WIJNEGEM,WIJNEGEM,106038 Wijnegem Shopping Center,,N112,"51.223673,4.502237","3;51.2237104,4.501905",Meer dan 5,Ja
Antwerpen,WIJNEGEM,WIJNEGEM,106046 Wijnegem Dorp,,Turnhoutsebaan,"51.227582,4.523444","10;51.2276361,4.5235823",Meer dan 5,Ja
West-Vlaanderen,WINGENE,BEER,505696 Wingene Sint-Jan,,UNKNOWN,"51.061758,3.3172","10;51.0617827,3.3171915",Meer dan 5,Ja
West-Vlaanderen,WINGENE,HILLE,502802 Zwevezele Hille,,WINGENESTEENWEG,"51.04827,3.228232","6;51.0481664,3.228081",Meer dan 5,Ja
West-Vlaanderen,WINGENE,WINGENE,505694 Wingene De Schakel,,De schakel,"51.0626,3.287858","5;51.0627422,3.2876777",Meer dan 5,Ja
West-Vlaanderen,WINGENE,WINGENE,507712 Wingene Kaplote,,Heilig sacramentstraat,"51.057315,3.284076","4;51.057229,3.2841141",Meer dan 5,Ja
Antwerpen,WOMMELGEM,HULGENRODE,102843 Wommelgem Silsburg,,Van strydoncklaan,"51.204016,4.483391","10;51.2040804,4.4832584",Meer dan 5,Ja
Antwerpen,WOMMELGEM,WOMMELGEM,103036 Wommelgem Vremdesteenweg,,Kempenlaan,"51.19753,4.529468","10;51.1975861,4.5293222",Meer dan 5,Ja
Antwerpen,WOMMELGEM,WOMMELGEM,103037 Wommelgem Vremdesteenweg,,Kempenlaan,"51.197284,4.530197","10;51.1972981,4.5301047",Meer dan 5,Ja
Antwerpen,WOMMELGEM,WOMMELGEM,106402 Wommelgem Molenbaan,,Sint-damiaanstraat,"51.199786,4.518929","10;51.1997886,4.5189206",Meer dan 5,Ja
Antwerpen,WUUSTWEZEL,BRAKEN,105801 Wuustwezel Stelplaats,,Loenhoutse steenweg,"51.408353,4.612419","3;51.408555,4.6122571",Meer dan 5,Ja
Antwerpen,WUUSTWEZEL,GOOREIND,105773 Wuustwezel Bosduinstraat,,Bredabaan,"51.352396,4.545623","3;51.3524216,4.5457181",Meer dan 5,Ja
Antwerpen,WUUSTWEZEL,GOOREIND,105783 Wuustwezel Verellenlaan,,Bredabaan,"51.354778,4.548523","3;51.3548762,4.5486749",Meer dan 5,Ja
Antwerpen,WUUSTWEZEL,WUUSTWEZEL,105788 Wuustwezel Martendijk,,Bredabaan,"51.363872,4.559694","3;51.3639681,4.5597325",Meer dan 5,Ja
Antwerpen,WUUSTWEZEL,WUUSTWEZEL,105793 Wuustwezel Dorp,,Bredabaan,"51.390396,4.592034","3;51.3903626,4.5920935",Meer dan 5,Ja
Antwerpen,ZANDHOVEN,PULDERBOS,106446 Pulderbos Dorp,,Dorp,"51.218222,4.691007","4;51.2182892,4.6910344",Meer dan 5,Ja
Vlaams-Brabant,ZAVENTEM,ZAVENTEM,305558 Zaventem Luchthaven Perron A,,Unknown,"50.898047,4.482065","35;50.898264,4.4816781",Meer dan 5,Ja
Vlaams-Brabant,ZAVENTEM,ZAVENTEM,308652 Zaventem Luchthaven Perron B,,Unknown,"50.898126,4.481982","78;50.8981367,4.4819984",Meer dan 5,Ja
West-Vlaanderen,ZEDELGEM,ZUIDWEGE,502549 Zedelgem New Holland,,LÉON CLAEYSSTRAAT,"51.130185,3.161327","5;51.1302138,3.1613042",Meer dan 5,Ja
Oost-Vlaanderen,ZELZATE,ZELZATE,202436 Zelzate Busstation perron 6,,Westkade,"51.200821,3.808132","4;51.2008973,3.8084666",Meer dan 5,Ja
Oost-Vlaanderen,ZELZATE,ZELZATE,202588 Zelzate Busstation perron 1,,Westkade,"51.201076,3.807996","4;51.2011615,3.808371",Meer dan 5,Ja
Oost-Vlaanderen,ZELZATE,ZELZATE,202719 Zelzate Busstation perron 4,,Westkade,"51.200906,3.808087","3;51.2010959,3.8084279",Meer dan 5,Ja
Antwerpen,ZOERSEL,SINT-ANTONIUS (ZOERSEL),106083 Halle Eikenlaan,,Kapellei,"51.253112,4.614585","10;51.2528046,4.6137553",Meer dan 5,Ja
Antwerpen,ZOERSEL,SINT-ANTONIUS (ZOERSEL),106084 Sint-Antonius Joostens,,Kapellei,"51.258875,4.626705","10;51.2588473,4.6266109",Meer dan 5,Ja
Antwerpen,ZOERSEL,SINT-ANTONIUS (ZOERSEL),106091 Sint-Antonius Bibliotheek,,Handelslei,"51.265344,4.636124","10;51.2653065,4.6360763",Meer dan 5,Ja
Antwerpen,ZOERSEL,SINT-ANTONIUS (ZOERSEL),106093 Sint-Antonius Bethaniëlei,,Handelslei,"51.269171,4.642154","10;51.2692124,4.6422187",Meer dan 5,Ja
Antwerpen,ZOERSEL,ZOERSEL,106166 Zoersel P+R Zoersel,,N14,"51.246121,4.703221","10;51.2460456,4.7031143",Meer dan 5,Ja
Antwerpen,ZOERSEL,ZOERSEL,106167 Zoersel P+R Zoersel,,N14,"51.246131,4.703468","4;51.245991,4.7032581",Meer dan 5,Ja
Antwerpen,ZOERSEL,ZOERSEL,106171 Zoersel Drengel,,Zandstraat,"51.257108,4.710712","4;51.2570998,4.7105597",Meer dan 5,Ja
Antwerpen,ZOERSEL,ZOERSEL,106174 Zoersel Dorp,,Dorp,"51.27002,4.713353","4;51.2699747,4.7133794",Meer dan 5,Ja
Oost-Vlaanderen,ZOMERGEM,ZOMERGEM,201714 Zomergem Sportcentrum,,Den boer,"51.122627,3.561788","4;51.1225345,3.5616466",Meer dan 5,Ja
Limburg,ZONHOVEN,ZONHOVEN,409261 Zonhoven De Waerde,,Waardstraat,"51.005667,5.385827","9;51.0059346,5.3856451",Meer dan 5,Ja
Limburg,ZONHOVEN,ZONHOVEN,409290 Zonhoven Dorpsplein,,Dorpsplein,"50.994447,5.367211","4;50.994406,5.3673194",Meer dan 5,Ja
Limburg,ZONHOVEN,ZONHOVEN,409291 Zonhoven Dorpsplein,,Dorpsplein,"50.994339,5.367062","4;50.9943608,5.3671215",Meer dan 5,Ja
Oost-Vlaanderen,ZULTE,ZULTE,201563 Zulte Standbeeld,,Staatsbaan,"50.921312,3.443072","3;50.9207446,3.4422124",Meer dan 5,Ja
Oost-Vlaanderen,ZWIJNDRECHT,BURCHT,205611 Burcht Kaai,,Koningin astridlaan,"51.202098,4.350392","4;51.2021846,4.3504798",Meer dan 5,Ja
Oost-Vlaanderen,ZWIJNDRECHT,BURCHT,205612 Burcht Kerkplein,,Dorpstraat,"51.201624,4.34575","4;51.201608,4.3457253",Meer dan 5,Ja
Oost-Vlaanderen,ZWIJNDRECHT,ZWIJNDRECHT,204287 Zwijndrecht P+R Melsele perron 2,,Beversebaan,"51.219536,4.306737","4;51.2194259,4.3050758",Meer dan 5,Ja
Oost-Vlaanderen,ZWIJNDRECHT,ZWIJNDRECHT,205287 Zwijndrecht P+R Melsele perron 6,,Beversebaan,"51.219266,4.306832","4;51.2191537,4.3051529",Meer dan 5,Ja
Antwerpen,ZWIJNDRECHT,ZWIJNDRECHT,104404 Zwijndrecht Verbrandendijk,,Verbrandendijk,"51.219576,4.340795","4;51.2196789,4.3405798",Meer dan 5,Ja
Antwerpen,ZWIJNDRECHT,ZWIJNDRECHT,104409 Zwijndrecht Verbrandendijk,,N70,"51.219828,4.341998","3;51.2197731,4.342039",Meer dan 5,Ja
Antwerpen,ZWIJNDRECHT,ZWIJNDRECHT,104416 Zwijndrecht Dorp,,Unknown,"51.219503,4.326193","4;51.2194186,4.3256514",Meer dan 5,Ja
Antwerpen,ZWIJNDRECHT,ZWIJNDRECHT,104422 Zwijndrecht P+R Melsele,,,"51.219353,4.305232","3;51.2193847,4.3052363",Meer dan 5,Ja
Antwerpen,ZWIJNDRECHT,ZWIJNDRECHT,104424 Zwijndrecht P+R Melsele,,,"51.219287,4.305329","3;51.2192533,4.3053106",Meer dan 5,Ja
