Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Antwerpen,KAPELLEN (ANTWERPEN),KAPELLEN (ANTWERPEN),105406 Kapellen Valkenlaan,,Antwerpsesteenweg,"51.298455,4.439682","3;51.2984695,4.4397258",Meer dan 5,Ja
Antwerpen,KAPELLEN (ANTWERPEN),KAPELLEN (ANTWERPEN),105836 Kapellen Zilverhoeklaan,,Antwerpsesteenweg,"51.305355,4.434748","3;51.3054298,4.4347519",Meer dan 5,Ja
Vlaams-Brabant,KEERBERGEN,KEERBERGEN,302552 Keerbergen Kerk,,Haachtsebaan,"51.004336,4.629068","4;51.0044129,4.6290793",Meer dan 5,Ja
West-Vlaanderen,KNOKKE-HEIST,KNOKKE (KNOKKE-HEIST),501149 Knokke Het Zwin,,Graaf leon lippensdreef,"51.358621,3.351138","3;51.35880684,3.35086688",Meer dan 5,Ja
West-Vlaanderen,KNOKKE-HEIST,WESTKAPELLE,506456 Knokke AZ Zeno,,NATIËNLAAN,"51.327545,3.292418","5;51.3276414,3.2921145",Meer dan 5,Ja
West-Vlaanderen,KOKSIJDE,OOSTDUINKERKE,506738 Oostduinkerke Duinpark,,Albert i laan,"51.134326,2.684575","10;51.1344128,2.6846593",Meer dan 5,Ja
West-Vlaanderen,KORTRIJK,KORTRIJK,510021 Kortrijk Busterminal 3 perron 32,,MINISTER TACKLAAN,"50.823734,3.264109","4;50.8236962,3.2645418",Meer dan 5,Ja
West-Vlaanderen,KORTRIJK,KORTRIJK,510020 Kortrijk Busterminal 3 perron 33,,MINISTER TACKLAAN,"50.823792,3.264799","4;50.8237095,3.2645371",Meer dan 5,Ja
West-Vlaanderen,KORTRIJK,KORTRIJK,510022 Kortrijk Busterminal 3 perron 31,,MINISTER TACKLAAN,"50.82372,3.263694","4;50.8237113,3.2636451",Meer dan 5,Ja
West-Vlaanderen,KORTRIJK,MARKE,503532 Marke Plaats,,Markekerkstraat,"50.807164,3.233136","4;50.8072477,3.2326987",Meer dan 5,Ja
Oost-Vlaanderen,KRUIBEKE,BAZEL,204647 Steendorp Hemelrijkstraat,,Kapelstraat,"51.133052,4.277252","4;51.1330307,4.277317",Meer dan 5,Ja
Oost-Vlaanderen,KRUIBEKE,KRUIBEKE,205633 Kruibeke Scheldelei,,LANGESTRAAT,"51.176079,4.315807","4;51.176066,4.3157777",Meer dan 5,Ja
Oost-Vlaanderen,KRUIBEKE,KRUIBEKE,205635 Kruibeke Mercatorstraat,,Bazelstraat,"51.167268,4.310567","4;51.1672569,4.3105788",Meer dan 5,Ja
Oost-Vlaanderen,KRUIBEKE,KRUIBEKE,205636 Kruibeke Moortelstraat,,Bazelstraat,"51.162093,4.305951","4;51.1621426,4.3059094",Meer dan 5,Ja
Oost-Vlaanderen,KRUISHOUTEM,KRUISHOUTEM,218026 Kruishoutem Nieuw Plein Perron 1,,NIEUW PLEIN,"50.902824,3.526507","4;50.9030468,3.5268548",Meer dan 5,Ja
Oost-Vlaanderen,KRUISHOUTEM,KRUISHOUTEM,218027 Kruishoutem Nieuw Plein Perron 2,,NIEUW PLEIN,"50.902885,3.526611","4;50.9029359,3.5266186",Meer dan 5,Ja
Limburg,LAAKDAL,VORST (LAAKDAL),405088 Vorst Markt,,MARKT,"51.080745,5.020888","7;51.0807033,5.0208771",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,202518 Kalken Belindestraat,,Nerenweg,"51.037438,3.899926","5;51.0374538,3.9000593",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,202519 Kalken Steenbeekstraat,,Nerenweg,"51.036202,3.90494","4;51.0361759,3.9049658",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,202521 Kalken Kerk,,Nerenweg,"51.036367,3.917048","4;51.0363557,3.9170642",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,202528 Kalken Gaverstraatje,,Gaverstraat,"51.044474,3.929011","4;51.0445327,3.9290138",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,203520 Kalken Bieststraat,,Nerenweg,"51.035796,3.911713","4;51.0358261,3.9118152",Meer dan 5,Ja
Oost-Vlaanderen,LAARNE,KALKEN,203521 Kalken Kerk,,NERENWEG,"51.036318,3.916998","4;51.0362614,3.9168998",Meer dan 5,Ja
Limburg,LANAKEN,LANAKEN,409403 Zutendaal Bessemer,,Trichterweg,"50.921985,5.606826","4;50.9219768,5.6068196",Meer dan 5,Ja
Vlaams-Brabant,LENNIK,EIZERINGEN,304488 Sint-Kwintens-Lennik Eizeringen kruispunt,,Ninoofsesteenweg,"50.835151,4.14793","6;50.8349926,4.1475494",Meer dan 5,Ja
Limburg,LEOPOLDSBURG,HEPPEN,405568 Heppen Kerk,,Dorpsstraat,"51.108902,5.22902","5;51.1088447,5.2290974",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,HEVERLEE,304184 Heverlee Kasteel Arenberg,,Celestijnenlaan,"50.860942,4.682238","4;50.8609971,4.6823226",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,HEVERLEE,302862 Heverlee Sint-Albertus College,,GELDENAAKSEBAAN,"50.85573,4.721492","5;50.855704,4.721678",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,KESSEL-LO,302949 Kessel-Lo Gemeenteplein,,Gemeenteplein,"50.890832,4.729871","6;50.8908302,4.7298929",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,LEUVEN,305442 Leuven Rector De Somerplein zone A,,Rector de somerplein,"50.879188,4.70298","9;50.8792488,4.7031515",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,LEUVEN,302988 Leuven Gasthuisberg Kliniek Perron 4,,Unknown,"50.878804,4.675277","10;50.8787434,4.67535",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,LEUVEN,308674 Leuven Gasthuisberg Kliniek Perron 5,,Unknown,"50.878802,4.675163","16;50.8787386,4.6754612",Meer dan 5,Ja
Vlaams-Brabant,LEUVEN,LEUVEN,302987 Leuven Gasthuisberg Kliniek Perron 3,,Unknown,"50.878821,4.675346","7;50.8787796,4.675382",Meer dan 5,Ja
Antwerpen,LIER,LIER,103716 Lier De Mol,,Aarschotsesteenweg,"51.125217,4.573557","4;51.1252329,4.5735983",Meer dan 5,Ja
Antwerpen,LIER,LIER,106940 Lier Wachthalte perron 9,,Unknown,"51.135674,4.563128","4;51.1356761,4.562923",Meer dan 5,Ja
Antwerpen,LIER,LIER,107312 Lier Veemarkt perron 1,,Unknown,"51.128542,4.58278","4;51.1284987,4.5829807",Meer dan 5,Ja
Antwerpen,LILLE,GIERLE,109149 Gierle Kerk,,Singel,"51.26702,4.868171","4;51.2669857,4.8682243",Meer dan 5,Ja
Antwerpen,LILLE,LILLE,109201 Lille Dorp,,Poederleese weg,"51.238316,4.824295","4;51.2381954,4.8245278",Meer dan 5,Ja
Antwerpen,LILLE,POEDERLEE,109208 Poederlee Dorp,,Dorp,"51.22853,4.835432","4;51.2285287,4.8353873",Meer dan 5,Ja
Antwerpen,LILLE,WECHELDERZANDE,107451 Wechelderzande Kerk,,Gebroeders de winterstraat,"51.263598,4.785822","4;51.2636894,4.7859297",Meer dan 5,Ja
