"FID","Shape *","OBJECTID_1","id","ID_FIETS","X","Y","OBJECTID","tblalgemen","IDfietsens","MCSCode","MCSCodefie","MCSCodef_1","tblintermo","Positie","Betalend","Toegangsco","Afgesloten","Typevanafs","Eigenaarte","Eigenaarde","Kleinewege","Exploitant","Exploita_1","Infrastruc","specandere","Infrastr_1","specande_1","Infrastr_2","Infrastr_3","specande_2","Infrastr_4","Infrastr_5","specande_3","Bevestigin","Aantalplaa","Infrastr_6","Plaatsenfi","Plaatsen_1","Plaatsenba","Plaatsen_2","Plaatsenbr","Plaatsen_3","Plaatsenel","Plaatsen_4","Plaatsen_5","Plaatsen_6","Plaatsento","Plaatsen_7","Plaatsen_8","Camerabewa","voldoendev","beheerderv","weesfietse","opmerking","schattinga","Mogelijkhe","OpterreinN","Opterreind","Isernoodto","AantalInga","AantalUitg","Energiemet","Milieugeva","Branddetec","Anderetech","Aankondigi","Aankondi_1","Aankondi_2","Parkeerreg","Bordmettar","Signaletic","Signalet_1","Signalet_2","X_WGS84","Y_WGS84"
"81","Point","560","937","937","174416,372 m","174500,790 m","0","Leuven","937","20360030076","20360030067"," ","Fietsenstalling f8","F8 - Kop van Kessel-Lo (onbewaakt)","0","0","0"," ","NMBS","medeeigendom"," ","NMBS"," ","Lokaal in gebouw"," ","Andere","In gebouw","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","1656","0","30","0","0","0","0","0","0","0","1686","1686","0","1","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4° 42' 51,921"" E","50° 52' 51,247"" N"
"82","Point","561","939","939","174359,186 m","174611,120 m","0","Leuven","939","20360030076","20360030073"," ","Fietsenstalling f2","F2 - Parking De Bond","1","1","0"," ","NMBS","Erfpacht aan de stad Leuven"," ","NMBS"," ","Lokaal in gebouw","Parking  De Bond","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","550","0","10","0","0","0","0","0","0","0","560","560","0","-1","-1","Stadsnet","0","Bezetting < 90 %","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","4° 42' 49,022"" E","50° 52' 54,826"" N"
"83","Point","562","891","891","217349,722 m","180522,572 m","0","Hasselt","891","20350056005","0"," ","Fietsenstalling F3","F3 - Tramstraat","0","0","0"," ","NMBS"," ","Nee","Fietspunt"," ","Overdekt"," ","Stationsgebouw","+ standaardtype 1 (boog)","0","Betonstraatstenen","#NAME?"," ","Type NMBS"," ","0","0","Goede staat","234","0","0","0","0","0","6","0","0","0","240","240","0","1","1","NMBS","0"," ","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","1","5° 19' 31,898"" E","50° 55' 53,902"" N"
"84","Point","563","937","937","174411,812 m","174499,539 m","0","Leuven","937","20360030076","20360030067"," ","Fietsenstalling f8","F8 - Kop van Kessel-Lo (onbewaakt)","0","0","0"," ","NMBS","medeeigendom"," ","NMBS"," ","Lokaal in gebouw"," ","Andere","In gebouw","0","Beton"," "," ","Type NMBS"," ","0","0","Goede staat","1656","0","30","0","0","0","0","0","0","0","1686","1686","0","1","1","NMBS","0","Bezetting > 90 % en < 100 %","0","Moeilijk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4° 42' 51,688"" E","50° 52' 51,208"" N"
"85","Point","564","38","38","69641,688 m","210307,206 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 4,325"" E","51° 11' 51,635"" N"
"86","Point","565","38","38","69628,689 m","210301,951 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 3,660"" E","51° 11' 51,459"" N"
"87","Point","566","38","38","69623,158 m","210298,633 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 3,378"" E","51° 11' 51,349"" N"
"88","Point","567","38","38","69612,648 m","210293,378 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 2,841"" E","51° 11' 51,173"" N"
"89","Point","568","38","38","69609,882 m","210291,995 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 2,699"" E","51° 11' 51,127"" N"
"90","Point","569","38","38","69610,436 m","210252,169 m","0","Brugge","38","30503093055","0"," ","Fietsenstalling f2","Groen Brugge","0","0","0"," ","NMBS"," ","Nee"," "," ","Lokaal in gebouw"," ","Fietsgebouw"," ","0","Beton"," "," ","Type NMBS"," ","1","0","Goede staat","2594","0","0","0","80","0","0","0","0","0","2674","2594","80","-1","1","Eigen net","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," ","3° 13' 2,760"" E","51° 11' 49,839"" N"
