tblalgemenegegevens.Naam,ID fietsenstalling,MCS_Code,MCS_Code fiets,MCS_Code fiets opmerking,tblintermodaliteitfietsenstalling.Naam,Positie,Betalend?,Toegangscontrole?,Afgesloten fietsenstalling,Type van afsluiting,Eigenaar terrein,Eigenaar derde,Kleine wegenis,Exploitant,Exploitant derde,Infrastructuur Type,spec andere type,Infrastructuur Type overkapping,spec andere overkapping,Infrastructuur opp overkapping,Infrastructuur Type verharding,spec andere verharding,Infrastructuur Opp verharding,Infrastructuur Type fietsrek,spec andere fietsrek,Bevestigingsbaar voor motos,Aantal plaatsen aan bevestigingsbaar voor motos,Infrastructuur Toestand,Plaatsen fietsen overdekt,Plaatsen fietsen openlucht,Plaatsen bakfiets overdekt,Plaatsen bakfiets openlucht,Plaatsen bromfiets overdekt,Plaatsen bromfiets openlucht,Plaatsen elektrische fiets overdekt,Plaatsen elektrische fiets openlucht,Plaatsen elektrische moto overdekt,Plaatsen elektrische moto openlucht,Plaatsen totaal,Plaatsen totaal fiets,Plaatsen totaal moto,Camerabewaking,voldoende verlichting,beheerder verlichting,weesfietsen,opmerking,schatting aantal,Mogelijkheid tot uitbreiding van de parking,Op terrein NMBS,Op terrein derden,Is er nood tot uitbreiding fietstenstallingen,Bekleding_vloer,Beperkte toegankelijkheid,Type van beperking,Aantal Ingangen,Aantal Uitgangen,Energiemeters aanwezig?,Milieu gevaarlijke installaties aanwezig?,Branddetectie aanwezig?,Lokaal van het waarschuwingsbord,Andere technische installaties,Aankondigingspaal parking aanwezig,Aankondigingspaal parking voorzien van verlichting,Aankondigingspaal parking voorzien aankonding vrij/volzet,Parkeerreglement aanwezig,Bord met tarificatie aanwezig,Signaletica op straat,Signaletica op de parking,Signaletica naar stationsgebouw of perron,Toestand uitrustingen,Type gevel,Oppervlakte beglazing,Type verlichting
Mechelen-nekkerspoel ,955,20250022024,,,Fietsenstalling f3,"F3 - naast ingang onderdoorgang, kant speelgoedmuseum",0,0,0,,NMBS,,,NMBS,,Overdekt,,Eigen overkapping,,,,,,Type NMBS,,0,0,Goede staat,96,24,0,0,0,0,0,0,0,0,120,120,0,,1,NMBS,,Bezetting > 90 % en < 100 %,,Moeilijk,,,,,,,,,,,,,,1,1,,0,,0,,,,,,
Mechelen-nekkerspoel ,956,20250022024,,,Fietsenstalling f2,"F2 - naast ingang onderdoorgang, kant stationsgebouw",0,0,0,,NMBS,,,NMBS,,Open lucht,,,,,,,,Type NMBS,,0,0,Goede staat,0,193,0,0,0,0,0,0,0,0,193,193,0,,1,Stadsnet,,Bezetting > 100 %,,Moeilijk,,,,,,,,,,,,,,1,1,,0,,0,,,,,,
Melkouwen ,957,20160021009,20160021007,,Fietsenstalling f2,F2 - Hellestraat,0,0,0,,NMBS,,Ja,Stad/Gemeente,,Overdekt,,Eigen overkapping,,47,Klinkers,,,Type NMBS,,0,0,Goede staat,60,0,0,0,0,0,0,0,0,0,60,60,0,,1,Stadsnet,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,0,,0,,,,,,,,
Melsele,958,20590013006,,,Fietsenstalling f2,F2 - onoverdekte fietsenstalling,,,0,,NMBS,,Nee,NMBS,,Open lucht,,,,,Asfalt,,,Type NMBS,,0,0,Te controleren,0,36,0,0,0,0,0,0,0,0,36,36,0,,-1,Eigen net,,,,,,,,,,,1,1,,,,,,1,1,,0,,0,,,,,,
Mol ,959,20150055024,,,Fietsenstalling F3,F3 - Stationsplein,0,0,,,NMBS,,,,,Overdekt,,Eigen overkapping,,,Klinkers,,,Type NMBS,,0,,Goede staat,336,0,0,0,8,0,0,0,0,0,344,336,8,,1,NMBS,,Bezetting < 90 %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mol ,960,20150055024,,,Fietsenstalling F2,F2 - Stationsplein ,-1,-1,,,NMBS,,,,,Open lucht,,Eigen overkapping,,,Klinkers,,,Type NMBS,,0,,Goede staat,64,0,0,0,10,0,0,0,0,0,74,64,10,,1,NMBS,,Bezetting < 90 %,,Moeilijk,,,,,,,,,,,,,,,,,,,,,,,,,
Mortsel ,961,20270041210,,,Fietsenstalling f3,F3 - Lode Dosfellei,0,0,,,Derde,Agfe Gevaert,,Andere,Agfa Gevaert,Overdekt,,Eigen overkapping,,,,,,Wielklemmen laag,,0,0,Tussenkomst nodig,96,0,0,0,0,0,0,0,0,0,96,96,0,,0,,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,0,,0,,1,,,,,,
Mortsel-deurnesteenweg ,962,20250039510,,,Fietsenstalling f2,F2 -  Deurnestraat,0,0,0,,Stad/Gemeente,,,Stad,,Open lucht,,,,,,,,Type NMBS,,0,0,Goede staat,0,12,0,0,0,0,0,0,0,0,12,12,0,,1,Stadsnet,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,0,,0,,1,,,,,,
Mortsel-liersesteenweg ,963,20270039002,,,Fietsenstalling f2,F2 - Weerstandsplein,0,0,0,,NMBS,,Ja,NMBS,,Open lucht,,,,,Steenslag,,,Type NMBS,,0,0,Tussenkomst nodig,0,72,0,0,0,0,0,0,0,0,72,72,0,,1,Stadsnet,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,0,,0,,1,,,,,,
Mortsel-oude god ,964,20250038104,,,Fietsenstalling f2,F2 - parking vélo dans le parking,0,0,0,,Stad/Gemeente,,,Stad,,Open lucht,,,,,,,,,,0,0,Tussenkomst nodig,176,0,0,0,0,0,0,0,0,0,176,176,0,,0,,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,1,1,,0,,1,,,,,,
