tblalgemenegegevens.Naam,ID fietsenstalling,MCS_Code,MCS_Code fiets,MCS_Code fiets opmerking,tblintermodaliteitfietsenstalling.Naam,Positie,Betalend?,Toegangscontrole?,Afgesloten fietsenstalling,Type van afsluiting,Eigenaar terrein,Eigenaar derde,Kleine wegenis,Exploitant,Exploitant derde,Infrastructuur Type,spec andere type,Infrastructuur Type overkapping,spec andere overkapping,Infrastructuur opp overkapping,Infrastructuur Type verharding,spec andere verharding,Infrastructuur Opp verharding,Infrastructuur Type fietsrek,spec andere fietsrek,Bevestigingsbaar voor motos,Aantal plaatsen aan bevestigingsbaar voor motos,Infrastructuur Toestand,Plaatsen fietsen overdekt,Plaatsen fietsen openlucht,Plaatsen bakfiets overdekt,Plaatsen bakfiets openlucht,Plaatsen bromfiets overdekt,Plaatsen bromfiets openlucht,Plaatsen elektrische fiets overdekt,Plaatsen elektrische fiets openlucht,Plaatsen elektrische moto overdekt,Plaatsen elektrische moto openlucht,Plaatsen totaal,Plaatsen totaal fiets,Plaatsen totaal moto,Camerabewaking,voldoende verlichting,beheerder verlichting,weesfietsen,opmerking,schatting aantal,Mogelijkheid tot uitbreiding van de parking,Op terrein NMBS,Op terrein derden,Is er nood tot uitbreiding fietstenstallingen,Bekleding_vloer,Beperkte toegankelijkheid,Type van beperking,Aantal Ingangen,Aantal Uitgangen,Energiemeters aanwezig?,Milieu gevaarlijke installaties aanwezig?,Branddetectie aanwezig?,Lokaal van het waarschuwingsbord,Andere technische installaties,Aankondigingspaal parking aanwezig,Aankondigingspaal parking voorzien van verlichting,Aankondigingspaal parking voorzien aankonding vrij/volzet,Parkeerreglement aanwezig,Bord met tarificatie aanwezig,Signaletica op straat,Signaletica op de parking,Signaletica naar stationsgebouw of perron,Toestand uitrustingen,Type gevel,Oppervlakte beglazing,Type verlichting
Aalst,1,30500030235,,,Fietsenstalling f1,fietsgebouw voorkant,0,0,1,"overdekt, staalstructuur  ",NMBS,,Nee,,,Fietsgebouw,,Fietsgebouw,,,Beton,,,type NMBS,,1,40,Goede staat,869,0,0,0,32,0,0,0,0,0,901,869,32,0,1,Stadsnet,1,fietsenstalling is gekoppeld op paal 1206 van Eandis,0,,0,0,0,,,,2,,0,0,0,,0,0,0,0,1,0,,,,,,,
Aalst,2,30500030235,,,Fietsenstalling f2,parking P1a,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Golfplaten,,,Asfalt,,,type NMBS,,0,0,Goede staat,200,0,0,0,0,0,0,0,0,0,200,200,0,0,1,Eigen net,1,,4,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Aalst-Kerrebroek,3,30820002003,,,Fietsenstalling f1,aan perron 1/Ledebaan,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Klinkers,,,type NMBS,,0,0,Goede staat,14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,,-1,2 weessloten,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Aalter,4,30503071521,3053071507,,Fietsenstalling f1,naast stationsgebouw,0,0,-1,Haag,NMBS,,Nee,NMBS,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Wielklemmen laag,,1,6,Goede staat,258,0,0,0,8,0,0,0,0,0,266,258,8,0,1,Stadsnet,1,paar wielklemmen met bereikbaar door luifelstructuur => vol,1,,0,0,0,,,,3,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aalter,5,30503071521,3503071508,,Fietsenstalling f2,Spoorweglaan,0,0,0,,NMBS,,Ja,,,Overdekt (luifel),,Volle platen,,,Klinkers,,,Wielklemmen laag,,1,8,Goede staat,264,0,0,0,8,0,0,0,0,0,272,264,8,0,1,Stadsnet,-1,"Fietsenstalling verzadigd veel fietsen tegen hek",3,,0,0,0,,,,3,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aalter,6,30503071521,30503071509,,Fietsenstalling f3,Spoorweglaan,0,0,-1,,NMBS,,Ja,,,Open lucht,,,,,Klinkers,,,type NMBS,,0,0,Goede staat,0,102,0,0,0,0,0,0,0,0,102,102,0,0,0,,1,fietsenstalling verzadigd,3,,0,0,0,,,,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Aarsele,7,30730023407,,,Fietsenstalling f1,naast perron 1,0,0,,,NMBS,,Nee,B-Parking (NMBS),,Overdekt (luifel),,Standaardtype 1 (boog),,,Klinkers,,,type NMBS,,0,,Goede staat,28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,Eigen net,0,,0,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Anzegem,8,30890045911,,,Fietsenstalling f1,Statieplein aan overweg,0,0,0,NVT,NMBS,,Nee,B-Parking (NMBS),,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,type NMBS,,1,4,Goede staat,78,0,0,0,4,0,0,0,0,0,82,78,4,0,-1,Eigen net,0,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Anzegem,9,30890045911,,,Fietsenstalling f2,Gijzelbrechtegemstraat/perron 2,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,type NMBS,,1,0,Goede staat,48,0,0,0,4,0,0,0,0,0,52,48,4,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Appelterre,10,30900036208,,,Fietsenstalling f1,naast stationsgebouw,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,42,0,0,0,0,0,0,0,0,0,42,42,0,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Asse,11,30600014009,,,Fietsenstalling f1,Stationsplein naast stationsgebouw,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Doorzichtige platen,,,Klinkers,,,Wielklemmen laag,,0,0,Te controleren,59,0,0,0,0,0,0,0,0,0,59,59,0,0,-1,,-1,op 16/10/2018 in werffase van de ophoging van de perrons zijn er 72 plaatsen in de stalling,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Asse,12,30600014009,,,Fietsenstalling f2,Reizigersparking naast Fietspunt,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Te controleren,60,0,0,0,0,0,0,0,0,0,60,60,0,0,-1,,-1,stalling niet in gebruik tijdens ophogingswerken van de perrons. 60 open rekken type wielplooier op parking P2,2,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Asse,13,30600014009,,,Fietsenstalling f3,Stationsplein aan bushalte,0,0,0,NVT,Stad/Gemeente,,Nee,,,Overdekt (luifel),,Doorzichtige platen,,,Klinkers,,,Wielklemmen laag,,0,0,Goede staat,60,0,0,0,0,0,0,0,0,0,60,60,0,-1,0,,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Asse,14,30600014009,,,Fietsenstalling f4,Aan Rondweg/aan perron 2,0,0,0,NVT,Infrabel,,Ja,,,Overdekt (luifel),,Doorzichtige platen,,,Betonstraatstenen,,,Andere,type stad,0,0,Goede staat,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Baasrode-Zuid,15,30530016016,,,Fietsenstalling f1,Aan perron 1/Hopveld,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Te controleren,72,0,0,0,0,0,0,0,0,0,72,72,0,0,1,,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Baasrode-Zuid,16,30530016016,,,Fietsenstalling f2,Aan perron 2 /Reigersweg,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,,,Steenslag,,,Wielklemmen laag,,0,0,Te controleren,45,0,0,0,0,0,0,0,0,0,45,45,0,0,1,,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Balegem-Dorp,17,31220048008,,,Fietsenstalling f1,"Meerlaanstraat, langs perron 2",0,0,0,NVT,NMBS,,Nee,B-Parking (NMBS),,Overdekt (luifel),,Standaardtype 2,,,Betonstraatstenen,,,type NMBS,,1,6,Goede staat,217,0,0,0,6,0,0,0,0,0,223,217,6,0,1,Eigen net,-1,,3,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Balegem-Zuid,18,31220045004,,,Fietsenstalling f1,Langs perron 2,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,1,3,Goede staat,64,0,0,0,3,0,0,0,0,0,67,64,3,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Bambrugge,19,30820009004,,,Fietsenstalling f1,Dries/overkant sporen perron 1,0,0,0,NVT,Stad/Gemeente,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,Type NMBS,,0,0,Goede staat,14,0,0,0,0,0,0,0,0,0,14,14,0,0,1,Eigen net,0,1 weesslot,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Beernem,20,30503080922,,,Fietsenstalling f1,langs perron 1,0,0,0,,Infrabel,,Nee,,,Overdekt (luifel),,Doorzichtige platen,,,Betonstraatstenen,,,Wielklemmen laag,,1,,Goede staat,170,0,0,0,4,0,0,0,0,0,174,170,4,-1,1,Eigen net,-1,,2,,0,0,0,,,,1,1,0,0,0,,0,0,0,0,-1,0,0,0,,,,,
Beernem,21,30503080922,,,Fietsenstalling f2,onder brug,0,0,0,,Infrabel,,Nee,,,Andere,Onder brug,Onder viaduct,,,Betonstraatstenen,,,Wielklemmen laag,+ ex blue rek bike 12pl,0,0,Te controleren,72,0,0,0,0,0,0,0,0,0,72,72,0,0,0,Eigen net,0,2019: Blue bike rek van 12 stuks NMBS rek is samen met wielplooiers verzet onder de brug kant spoor.,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Beernem,22,30503080922,,,Fietsenstalling f3,langs perron 2,0,0,-1,Hek,Infrabel,,Nee,,,Overdekt (luifel),,Doorzichtige platen,,,Betonstraatstenen,,,Wielklemmen laag,,0,,Te controleren,172,0,0,0,4,0,0,0,0,0,176,172,4,-1,-1,Eigen net,-1,,0,,0,0,0,,,,1,1,0,0,0,,0,0,0,0,-1,0,0,0,,,,,
Beernem,23,30503080922,,,Fietsenstalling f4,langs perron 2,0,0,0,,NMBS,,Nee,,,Openlucht,,nee,,,Betonstraatstenen,,,type NMBS,,0,,Te controleren,0,28,0,0,0,0,0,0,0,0,28,28,0,-1,1,Eigen net,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,-1,0,,,,,
Beervelde,24,30590044504,,,Fietsenstalling f1,Naast stationsgebouw,,,0,NVT,NMBS,,Ja,,,,boog/open,,volle platen/open,,Betonstraatstenen,,,type NMBS,,0,0,,84,42,0,0,0,0,0,0,0,0,126,126,0,0,1,,-1,,3,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Bellem,25,30503068603,30503068602,,Fietsenstalling f1,Lotenhullestraat,0,0,-1,Haag,NMBS,,Nee,B-Parking (NMBS),,Andere,"deels overdekt, deels openlucht",Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,112,24,0,0,6,0,0,0,0,0,142,136,6,0,1,Stadsnet,0,open NMBS rekken mogen weggehaald worden: zijn overbodig,0,,0,0,0,,,,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Bellem,26,30503068603,30503068601,,Fietsenstalling f2,"Bellemstation, perron 2",0,0,-1,Andere,NMBS,,Nee,B-Parking (NMBS),,Andere,"deels overdekt, deels openlucht",Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,28,16,0,0,0,0,0,0,0,0,44,44,0,0,1,Stadsnet,-1,,3,,0,0,0,,,,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Belsele,27,30590028006,,,Fietsenstalling f1,Heiakker/aan perron 1 en parking P1,0,0,0,NVT,NMBS,,Ja,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,1,,Goede staat,72,0,0,0,6,0,0,0,0,0,78,72,6,0,1,,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Belsele,28,30590028006,,,Fietsenstalling f2,aan perron 2,0,0,0,NVT,Infrabel,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,1,,Goede staat,50,0,0,0,3,0,0,0,0,0,53,50,3,0,1,,0,,,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Beveren,29,30590014412,,,Fietsenstalling f1,Stationsplein,0,0,1,houten afsluiting,NMBS,,Ja,,,Andere,deels overdekt/deels openlucht,Volle platen,metalen golfplaten,198,Betonstraatstenen,,,Andere,210 wielklemmen laag + 36 NMBS,0,0,Tussenkomst nodig,182,64,0,0,0,0,0,0,0,0,246,246,0,0,1,,1,"Behoeften doorgegeven aan gemeente: 

300 kant stationsgebouw
50 kant perron 2

groene vuilbak",12,,0,0,0,,,,4,,0,0,0,,0,0,0,0,0,0,,,,,,,
Beveren,30,30590014412,,,Fietsenstalling f2,Aan schuine helling onderdoorgang naar perron 2,0,0,0,NVT,Infrabel,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,32,Klinkers,,,type NMBS,,0,0,Goede staat,28,0,0,0,0,0,0,0,0,0,28,28,0,0,1,,-1,,3,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Bissegem,31,30690003209,,,Fietsenstalling f1,Vlaswaagplein,0,0,0,NVT,NMBS,,Nee,B-Parking (NMBS),,Andere,overdekt/openlucht,Andere,standaardtype 1/geen,,Andere,betonstraatstenen/kasseien,,type NMBS,type NMBS/type NMBS,0,0,Goede staat,28,24,0,0,0,0,0,0,0,0,52,52,0,0,1,,0,,,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Blankenberge,32,30510107211,,,Fietsenstalling f1,tegen tijdelijk stationsgebouw,0,0,,,Derde,Projectontwikkelaar,Nee,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,type NMBS,,0,,Goede staat,126,0,0,0,0,0,0,0,0,0,126,126,0,0,1,,0,"Rondgang 2018:
Deze fietsenstalling bestaat niet meer.",6,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Blankenberge,33,30510107211,,,Fietsenstalling f2,onder luifel hotel t.h.v. perron 7 en voorperron,0,0,-1,Gebouw,Derde,Projectontwikkelaar,Nee,,,Overdekt (luifel),,Fietsgebouw,,,Beton,,,type NMBS,,0,0,Goede staat,104,0,0,0,0,0,0,0,0,0,104,104,0,-1,-1,Stadsnet,1,,4,,0,0,0,,,,6,0,0,0,0,,0,-1,0,0,0,0,0,-1,,,,,
Blankenberge,34,30510107211,,,Fietsenstalling f3,naast inrit van indigoparking,0,0,-1,Andere,NMBS,,Nee,,,Lokaal in gebouw,,Fietsgebouw,,,Beton,,,Type NMBS,,0,0,Goede staat,198,0,0,0,5,0,0,0,0,0,203,198,5,-1,-1,,-1,"Picto brandblusser op paal, maar geen brandblusser aanwezig",0,,0,0,0,,,,3,0,0,0,0,,0,-1,0,0,0,0,0,-1,,,,,
Bornem,35,30540022006,,,Fietsenstalling f1,naast stationsgebouw,0,0,0,NVT,NMBS,NMBS/Gemeente,Ja,,,Lokaal in gebouw,,Fietsgebouw,,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,144,0,0,0,0,0,0,0,0,0,144,144,0,0,0,,-1,"vuilbak door stad geledigd, ook die van perron",6,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Bornem,36,30540022006,,,Fietsenstalling f2,Overkant SG - langs Molenveldweg,-1,-1,0,NVT,Stad/Gemeente,,Nee,,,Lokaal in gebouw,,Fietsgebouw,,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,192,0,0,0,0,0,0,0,0,0,192,192,0,0,0,,1,"veel oude flyers op de fietsen

stalling is omheind en wordt binnenkort betalend gemaakt door gemeente",1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Brugge,37,30503093055,,,Fietsenstalling f1,ondergronds KAM-gebouw,0,0,,,Derde,NMBS / Belins,NVT,,,Lokaal in gebouw,,Fietsgebouw,,,Beton,,,Type NMBS,,1,,Goede staat,1621,0,0,0,32,0,0,0,0,0,1653,1621,32,0,-1,Eigen net,0,"vuinisbak Engels selectief 2X
+ strooizout",,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Brugge,38,30503093055,,,Fietsenstalling f2,Groen Brugge,0,0,,,NMBS,,Nee,,,Lokaal in gebouw,,Fietsgebouw,,,Beton,,,Type NMBS,,1,,Goede staat,2594,0,0,0,80,0,0,0,0,0,2674,2594,80,-1,1,Eigen net,0,,,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Brugge,39,30503093055,,,Fietsenstalling f3,beveiligde fietsparking,-1,-1,,,NMBS,,NVT,,,Lokaal in gebouw,,Stationsgebouw,,,Beton,,,Andere,houten rekken dubbeldek,0,,Te controleren,220,0,0,0,0,0,0,0,0,0,220,220,0,0,1,,0,,,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Brugge,40,30503093055,,,Fietsenstalling f4,personeelsfietsparking,0,0,,,NMBS,,Deels,,,Lokaal in gebouw,,Dienstgang,,,Beton,,,Andere,haken,0,,Te controleren,100,0,0,0,0,0,0,0,0,0,100,100,0,0,1,,0,,,,0,0,0,,,,,,0,0,0,,0,,0,0,,0,,,,,,,
Brugge-Sint-Pieters,41,30510095507,30510095506,,Fietsenstalling f1,f1,0,0,0,,NMBS,,Ja,,,Overdekt (luifel),,Doorzichtige platen,klein gaatje in,,Betonstraatstenen,,,Wielklemmen laag,,0,,Goede staat,24,0,0,0,0,0,0,0,0,0,24,24,0,0,0,,-1,"uitbreiding voorzien in 2018-2019 (uitvoeirng NMBS, kleine wegenis => betaald Stad Brugge)",0,,0,0,0,,,,1,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
Buggenhout,42,30530019607,,,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Type NMBS,,0,0,Goede staat,80,0,0,0,0,0,0,0,0,0,80,80,0,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Buggenhout,43,30530019607,,,Fietsenstalling f2,Stationsstraat,0,0,0,NVT,Infrabel,,NVT,,,Overdekt (luifel),,Doorzichtige platen,,,Andere,betonstraatstenen/beton,,Andere,30 wielklemmen/90 haken,0,0,Te controleren,120,0,0,0,0,0,0,0,0,0,120,120,0,0,0,,-1,Onkruid,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Burst,44,30890011408,,,Fietsenstalling f1,tussen SG en parking P2,0,0,0,NVT,NMBS,,NVT,B-Parking (NMBS),,Andere,deels overdekt/deels openlucht,Volle platen,,40,Betonstraatstenen,,,Type NMBS,,0,,Goede staat,38,24,0,0,0,0,0,0,0,0,62,62,0,0,1,Eigen net,-1,,5,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Burst,45,30890011408,,,Fietsenstalling f2,Kant perron 2,0,0,0,NVT,NMBS,,NVT,B-Parking (NMBS),,Overdekt (luifel),,Andere,Volle platen + 2 lichtstraten,,Klinkers,,,Type NMBS,,0,,Goede staat,60,0,0,0,0,0,0,0,0,0,60,60,0,0,1,Eigen net,-1,,1,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
De Panne,46,30730085609,30730085608,,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,,NVT,,,Overdekt (luifel),,Doorzichtige platen,,,Klinkers,,,Wielklemmen laag,,0,0,Goede staat,56,0,0,0,0,0,0,0,0,0,56,56,0,0,0,Eigen net,0,,,,0,0,0,,,,2,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,
De Pinte,47,30750007216,,,Fietsenstalling f1,Stationsstraat richting Oudenaarde,0,0,1,hekken,NMBS,,NVT,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,140,0,0,0,0,0,0,0,0,0,140,140,0,0,1,Eigen net,0,,,,0,0,0,,,,1,,0,0,0,,0,0,0,0,1,0,,,,,,,
De Pinte,48,30750007216,,,Fietsenstalling f2,onder overkapping perron 1,0,0,1,borstwering,NMBS,,Nee,,,Overdekt (luifel),,Stationsgebouw,,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,36,0,0,0,0,0,0,0,0,0,36,36,0,0,-1,Eigen net,0,,,,0,0,0,,,,1,,0,0,0,,0,0,0,0,1,0,,,,,,,
De Pinte,49,30750007216,,,Fietsenstalling f3,Stationsstraat richting Gent,0,0,1,draadafsluiting,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,136,0,0,0,0,0,4,0,0,0,140,140,0,0,-1,Eigen net,0,Oplaadpunt voor 4 elektrische fietsen,,,0,0,0,,,,2,,0,0,0,,0,0,0,0,1,0,,,,,,,
De Pinte,50,30750007216,,,Fietsenstalling f4,Florastraat,0,0,1,borstwering,NMBS,,Nee,,,Open lucht,,geen,,,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,0,92,0,0,0,0,0,0,0,0,92,92,0,0,0,,0,,,,0,0,0,,,,1,,0,0,0,,0,0,0,0,1,0,,,,,,,
De Pinte,51,30750007216,,,Fietsenstalling f5,Hazelaarspad,0,0,1,houten afsluiting,Stad/Gemeente,,Nee,,,Overdekt (luifel),,Volle platen,,,Klinkers,,,Wielklemmen laag,,0,0,Te controleren,36,0,0,0,0,0,0,0,0,0,36,36,0,0,0,,0,,,,0,0,0,,,,1,,0,0,0,,0,0,0,0,1,0,,,,,,,
Deinze,52,30750015309,,,Fietsenstalling f1,onder viaduct tussen SG en f2,0,0,0,NVT,NMBS,,Nee,B-Parking (NMBS),,Andere,Onder spoorviaduct,Onder viaduct,,,Asfalt,,,type NMBS,Dubbele étage rekken,0,0,Goede staat,924,0,0,0,0,0,0,0,0,0,924,924,0,0,1,Stadsnet,-1,,,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Denderleeuw,53,30500023849,,,Fietsenstalling f1,voorzijde rond ingang onderdoorgang,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Doorzichtige platen,,360,Betonstraatstenen,,,Wielklemmen laag,,1,0,Dringend,90,0,0,0,12,0,0,0,0,0,102,90,12,-1,1,Eigen net,-1,Dakgoot volledig kapot,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Denderleeuw,54,30500023849,,,Fietsenstalling f2,Voorzijde naast fietsenstalling f1,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,,,Betonstraatstenen,,,Andere,112 wielklemmen/24 NMBS,0,0,Goede staat,136,0,0,0,0,0,0,0,0,0,136,136,0,-1,1,Eigen net,-1,Is afgezet met herashekken.,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Denderleeuw,55,30500023849,,,Fietsenstalling f3,Achterzijde naast seinhuis Infrabel,0,0,1,draadafsluiting,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 2,naast  seinhuis,280,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,448,0,0,0,0,0,0,0,0,0,448,448,0,-1,1,Eigen net,-1,,0,,0,0,0,,,,2,,0,0,0,,0,0,0,0,0,0,,,,,,,
Denderleeuw,56,30500023849,,,Fietsenstalling f4,Achterzijde onder seinhuis Infrabel,0,0,1,in gebouw seinhuis,NMBS,,Nee,,,Lokaal in gebouw,,Fietsgebouw,,143,Betonstraatstenen,,,type NMBS,,0,0,Goede staat,104,0,0,0,0,0,0,0,0,0,104,104,0,-1,-1,Eigen net,-1,Brandblusser aanwezig,0,,0,0,0,,,,2,,0,0,0,,0,0,0,0,0,0,,,,,,,
Dendermonde,57,30530012612,,,Fietsenstalling f1,tussen stationsgebouw en parking P3,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Doorzichtige platen,gebogen en platte overkapping,756,Betonstraatstenen,,,Wielklemmen laag,,1,30,Tussenkomst nodig,403,0,0,0,30,0,0,0,0,0,433,403,30,-1,1,Eigen net,-1,,2,,0,0,0,,,,,,0,0,0,,0,1,0,0,1,0,,,,,,,
Dendermonde,58,30530012612,,,Fietsenstalling f2,achterkant station,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Volle platen,metaal platen,240,Klinkers,,,Wielklemmen laag,,1,6,Te controleren,274,0,2,0,6,0,0,0,0,0,282,276,6,0,1,Stadsnet,-1,"er is een hele staaf over de hele lengte voor brommers, er kunnen dus meer dan 6 plaatsen ingenomen worden",1,,0,0,0,,,,,,0,0,0,,0,1,0,0,1,0,,,,,,,
Dendermonde,59,30530012612,,,Fietsenstalling f3,Statieplein naast busstation,0,0,0,NVT,NMBS,,Nee,,,Open lucht,,,,,Betonstraatstenen,,,Wielklemmen laag,,0,0,Tussenkomst nodig,0,40,0,0,0,0,0,0,0,0,40,40,0,0,-1,Stadsnet,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Dendermonde,60,30530012612,,,Fietsenstalling f4,Voor stationsgebouw kant parking P2,0,0,0,NVT,NMBS,,Nee,,,Open lucht,,,,,Klinkers,,,Wielklemmen laag,,0,0,Goede staat,0,251,0,0,0,0,0,0,0,0,251,251,0,0,1,Eigen net,-1,,2,,0,0,0,,,,,,0,0,0,,0,0,0,0,1,0,,,,,,,
Dendermonde,61,30530012612,,,Fietsenstalling f5,"Naast stationsgebouw, kant parking P2",0,0,0,NVT,NMBS,,Nee,,,Open lucht,,,,,Klinkers,,,type NMBS,oudere type,0,0,Goede staat,0,80,0,0,0,0,0,0,0,0,80,80,0,0,1,Eigen net,-1,,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Diksmuide,62,30730065514,,,Fietsenstalling f1,Bortierlaan/nst gebouwtje Infrabel,0,0,0,NVT,NMBS,,Nee,,,Overdekt (luifel),,Standaardtype 3,,234,Betonstraatstenen,,,type NMBS,,1,6,Goede staat,128,0,0,0,6,0,0,0,0,0,134,128,6,0,-1,Eigen net,-1,er staan fietsen kant parking P1 waar geen stalling is,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
Dilbeek,63,30500011014,,,Fietsenstalling f1,Naast stationsgebouw,0,0,0,NVT,NMBS,,Ja,Stad/Gemeente,,Overdekt (luifel),,Standaardtype 1 (boog),,,Betonstraatstenen,,,Type NMBS,,0,0,Goede staat,56,0,0,0,0,0,0,0,0,0,56,56,0,0,1,Stadsnet,-1,,6,,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,,,,,,,
